M,T,C,Module,Topic,Concept,Tag,Textbook,TextbookURL,FileName,Concept intro
1,1,1,Dynamical Systems,Introduction and System Modelling,Introduction,intro,Ch1,https://fbswiki.org/wiki/index.php/Introduction,acs-1-1-1-intro.pdf,"This concept introduces the broad themes of control systems and covers the entire first chapter of the textbook. This is an important chapter to cover to ensure that you are familiar with the ideas around control systems, and the terminology used when discussing them."
1,1,2,Dynamical Systems,Introduction and System Modelling,Modeling Concepts,concepts,§3.1,https://fbswiki.org/wiki/index.php/System_Modeling,acs-1-1-2-concepts.pdf,"This concept commences Chapter 3 of the textbook, with each section aligned with each subsequent concept in this topic. (Chapter 2 was not part of the first edition and is considered ""optional"" — in our opinion it introduces too many advanced concepts too early, but we'd love to hear what you think if you dive into it.) In this concept, we introduce at a high level how we think about dynamical systems (both linear and nonlinear) and explore their characteristics."
1,1,3,Dynamical Systems,Introduction and System Modelling,State Space Models,statespace,§3.2,https://fbswiki.org/wiki/index.php/System_Modeling,acs-1-1-3-statespace.pdf
1,1,4,Dynamical Systems,Introduction and System Modelling,Modeling Methodology,modelling,§3.3,https://fbswiki.org/wiki/index.php/System_Modeling,acs-1-1-4-modelling.pdf,This is the final concept for this topic. In this concept ...
1,2,1,Dynamical Systems,Dynamic Behaviour,Solving Differential Equations,diffeq,§5.1,https://fbswiki.org/wiki/index.php/Dynamic_Behavior,acs-1-2-1-diffeq.pdf,
1,2,2,Dynamical Systems,Dynamic Behaviour,Qualitative Analysis,qual,§5.2,https://fbswiki.org/wiki/index.php/Dynamic_Behavior,acs-1-2-2-qual.pdf,
1,2,3,Dynamical Systems,Dynamic Behaviour,Stability,stability,§5.3,https://fbswiki.org/wiki/index.php/Dynamic_Behavior,acs-1-2-3-stability.pdf,
1,2,4,Dynamical Systems,Dynamic Behaviour,Examples,examples,Ch4,https://fbswiki.org/wiki/index.php/Examples,acs-1-2-4-examples.pdf,This is the final concept for this topic. In this concept ...
1,3,1,Dynamical Systems,Linear Systems,Basic Definitions,linear,§6.1,https://fbswiki.org/wiki/index.php/Linear_Systems,acs-1-3-1-linear.pdf,"In this concept, the two ideas of linearity and time-invariance are introduced. Together, these define the ‘linear time-invariant’ (LTI) system which underpins much of classical control."
1,3,2,Dynamical Systems,Linear Systems,The Matrix Exponential,matrix,§6.2,https://fbswiki.org/wiki/index.php/Linear_Systems,acs-1-3-2-matrix.pdf,
1,3,3,Dynamical Systems,Linear Systems,Input / Output Response,response,§6.3,https://fbswiki.org/wiki/index.php/Linear_Systems,acs-1-3-3-response.pdf,
1,3,4,Dynamical Systems,Linear Systems,Linearisation,linearisation,§6.4,https://fbswiki.org/wiki/index.php/Linear_Systems,acs-1-3-4-linearisation.pdf,This is the final concept for this topic. In this concept ...
2,4,1,Control System Concepts,State Feedback,Reachability,reachability,§7.1,https://fbswiki.org/wiki/index.php/State_Feedback,acs-2-4-1-reachability.pdf,
2,4,2,Control System Concepts,State Feedback,Stabilisation by State Feedback,stabilisation,§7.2,https://fbswiki.org/wiki/index.php/State_Feedback,acs-2-4-2-stabilisation.pdf,
2,4,3,Control System Concepts,State Feedback,State Feedback Design,statedesign,§7.3,https://fbswiki.org/wiki/index.php/State_Feedback,acs-2-4-3-statedesign.pdf,
2,4,4,Control System Concepts,State Feedback,Integral Action,integral,§7.4,https://fbswiki.org/wiki/index.php/State_Feedback,acs-2-4-4-integral.pdf,
2,4,5,Control System Concepts,State Feedback,Output Feedback Basics,observer,§8.1–§8.3,https://fbswiki.org/wiki/index.php/Output_Feedback,acs-2-4-5-observer.pdf,This is the final concept for this topic. In this concept ...
